Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Arab World,ARB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Caribbean small states,CSS,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Central Europe and the Baltics,CEB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Early-demographic dividend,EAR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,East Asia & Pacific,EAS,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,East Asia & Pacific (excluding high income),EAP,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,East Asia & Pacific (IDA & IBRD countries),TEA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Euro area,EMU,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Europe & Central Asia,ECS,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Europe & Central Asia (excluding high income),ECA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Europe & Central Asia (IDA & IBRD countries),TEC,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,European Union,EUU,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Fragile and conflict affected situations,FCS,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Heavily indebted poor countries (HIPC),HPC,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,High income,HIC,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,IBRD only,IBD,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,IDA & IBRD total,IBT,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,IDA blend,IDB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,IDA only,IDX,..
