Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Arab World,ARB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Caribbean small states,CSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Central Europe and the Baltics,CEB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Early-demographic dividend,EAR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,East Asia & Pacific,EAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,East Asia & Pacific (excluding high income),EAP,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,East Asia & Pacific (IDA & IBRD countries),TEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Euro area,EMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Europe & Central Asia,ECS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Europe & Central Asia (excluding high income),ECA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Europe & Central Asia (IDA & IBRD countries),TEC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,European Union,EUU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Fragile and conflict affected situations,FCS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Heavily indebted poor countries (HIPC),HPC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,High income,HIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,IBRD only,IBD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,IDA & IBRD total,IBT,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,IDA blend,IDB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,IDA only,IDX,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,IDA total,IDA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Late-demographic dividend,LTE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Latin America & Caribbean,LCN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Latin America & Caribbean (excluding high income),LAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Least developed countries: UN classification,LDC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Low & middle income,LMY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Low income,LIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Lower middle income,LMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Middle East & North Africa,MEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Middle East & North Africa (excluding high income),MNA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Middle East & North Africa (IDA & IBRD countries),TMN,..
