Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Arab World,ARB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Caribbean small states,CSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Central Europe and the Baltics,CEB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Early-demographic dividend,EAR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,East Asia & Pacific,EAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,East Asia & Pacific (excluding high income),EAP,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,East Asia & Pacific (IDA & IBRD countries),TEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Euro area,EMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Europe & Central Asia,ECS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Europe & Central Asia (excluding high income),ECA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Europe & Central Asia (IDA & IBRD countries),TEC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,European Union,EUU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Fragile and conflict affected situations,FCS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Heavily indebted poor countries (HIPC),HPC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,High income,HIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,IBRD only,IBD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,IDA & IBRD total,IBT,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,IDA blend,IDB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,IDA only,IDX,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,IDA total,IDA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Late-demographic dividend,LTE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Latin America & Caribbean,LCN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Latin America & Caribbean (excluding high income),LAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Least developed countries: UN classification,LDC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Low & middle income,LMY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Low income,LIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Lower middle income,LMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Middle East & North Africa,MEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Middle East & North Africa (excluding high income),MNA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Middle East & North Africa (IDA & IBRD countries),TMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Middle income,MIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,North America,NAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Not classified,INX,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,OECD members,OED,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Other small states,OSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Pacific island small states,PSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Post-demographic dividend,PST,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Pre-demographic dividend,PRE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Small states,SST,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,South Asia,SAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,South Asia (IDA & IBRD),TSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Sub-Saharan Africa,SSF,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Sub-Saharan Africa (excluding high income),SSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Upper middle income,UMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,World,WLD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Afghanistan,AFG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Albania,ALB,15.881825411975
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Algeria,DZA,31.1627114167034
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,American Samoa,ASM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Andorra,AND,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Angola,AGO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Antigua and Barbuda,ATG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Argentina,ARG,12.6936146689394
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Armenia,ARM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Aruba,ABW,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Australia,AUS,4.8405992075667
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Austria,AUT,6.52643443644483
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Azerbaijan,AZE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Bahamas, The",BHS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Bahrain,BHR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Bangladesh,BGD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Barbados,BRB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Belarus,BLR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Belgium,BEL,5.31952524546817
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Belize,BLZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Benin,BEN,..
