Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Arab World,ARB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Caribbean small states,CSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Central Europe and the Baltics,CEB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Early-demographic dividend,EAR,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,East Asia & Pacific,EAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,East Asia & Pacific (excluding high income),EAP,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,East Asia & Pacific (IDA & IBRD countries),TEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Euro area,EMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Europe & Central Asia,ECS,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Europe & Central Asia (excluding high income),ECA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Europe & Central Asia (IDA & IBRD countries),TEC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,European Union,EUU,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Fragile and conflict affected situations,FCS,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Heavily indebted poor countries (HIPC),HPC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,High income,HIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,IBRD only,IBD,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,IDA & IBRD total,IBT,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,IDA blend,IDB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,IDA only,IDX,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,IDA total,IDA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Late-demographic dividend,LTE,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Latin America & Caribbean,LCN,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Latin America & Caribbean (excluding high income),LAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Least developed countries: UN classification,LDC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Low & middle income,LMY,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Low income,LIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Lower middle income,LMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Middle East & North Africa,MEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Middle East & North Africa (excluding high income),MNA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Middle East & North Africa (IDA & IBRD countries),TMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Middle income,MIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,North America,NAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Not classified,INX,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,OECD members,OED,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Other small states,OSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Pacific island small states,PSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Post-demographic dividend,PST,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Pre-demographic dividend,PRE,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Small states,SST,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,South Asia,SAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,South Asia (IDA & IBRD),TSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Sub-Saharan Africa,SSF,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Sub-Saharan Africa (excluding high income),SSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Upper middle income,UMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,World,WLD,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Afghanistan,AFG,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Albania,ALB,27.34450237174
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Algeria,DZA,16.9928899361211
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,American Samoa,ASM,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Andorra,AND,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Angola,AGO,..
